programme,male,female,total,year
Accountancy,675,739,1414,2019
Accountancy and Business,320,331,651,2019
Art Design & Media,167,479,646,2019
Aerospace Engineering,382,80,462,2019
Aerospace Engineering and Economics,22,5,27,2019
Bioengineering,142,224,366,2019
Bioengineering and Economics,3,2,5,2019
Biomedical Sciences,31,118,149,2019
Biomedical Sciences and BioBusiness,1,8,9,2019
Biological Sciences,302,502,804,2019
Biological Sciences and Psychology,13,35,48,2019
Business,772,1105,1877,2019
Business & Computing,130,71,201,2019
Business & Computer Engineering,11,4,15,2019
Chemical & Biomolecular Engineering ,342,219,561,2019
Chemical & Biomolecular Engineering and Economics,14,5,19,2019
Civil Engineering,247,153,400,2019
Civil Engineering and Economics,4,1,5,2019
Chemistry & Biological Chemistry,321,549,870,2019
Chinese,53,294,347,2019
Communication Studies,161,564,725,2019
Computer Engineering,249,46,295,2019
Computer Engineering and Economics,2,0,2,2019
Computer Science,1080,432,1512,2019
Computer Science and Economics,5,5,10,2019
Data Science and Artificial Intelligence,33,43,76,2019
Economics,217,274,491,2019
Economics and Media Analytics,1,3,4,2019
Economics and Psychology,6,26,32,2019
Economics and Public Policy & Global Affairs,15,20,35,2019
Electrical & Electronic Engineering,1630,578,2208,2019
Electrical & Electronic Engineering and Economics,3,2,5,2019
Engineering,458,192,650,2019
English,100,331,431,2019
English Literature and Art History,7,30,37,2019
Environmental Earth Systems Science,41,74,115,2019
Environmental Earth Systems Science and Public & Global Affairs,4,12,16,2019
Environmental Engineering,62,74,136,2019
Environmental Engineering and Economics,0,1,1,2019
History,89,161,250,2019
Information Engineering & Media,145,182,327,2019
Information Engineering & Media and Economics,0,1,1,2019
Linguistics & Multilingual Studies,76,249,325,2019
Mathematics & Economics,71,61,132,2019
Mathematical Sciences,280,391,671,2019
Mathematical Sciences and Economics,17,16,33,2019
Maritime Studies,153,187,340,2019
Materials Engineering,449,312,761,2019
Materials Engineering and Economics,4,0,4,2019
Mechanical Engineering,1641,317,1958,2019
Mechanical Engineering and Economics,7,2,9,2019
Medicine,388,217,605,2019
Philosophy,58,120,178,2019
Physics & Applied Physics,290,93,383,2019
Psychology,133,383,516,2019
Psychology and Linguistics & Multilingual Studies,3,25,28,2019
Psychology and Media Analytics,4,22,26,2019
Public Policy and Global Affairs,99,148,247,2019
Renaissance Engineering,215,77,292,2019
Sociology,113,330,443,2019
Sport Science & Management,145,152,297,2019
Arts(Education),43,211,254,2019
Science(Education),60,80,140,2019
